order_id,order_date,brand,model_name,category,gender,size,color,base_price_usd,discount_percent,final_price_usd,units_sold,revenue_usd,payment_method,sales_channel,country,customer_income_level,customer_rating,price_category,discount_applied_status
ORD100000,30-01-2021,ASICS,Model-370,Running,Unisex,8,Black,162,15,137.7,1,137.7,Card,Retail Store,Germany,Low,4.6,Mid,1
ORD100001,05-10-2026,Reebok,Model-314,Lifestyle,Men,8,Grey,80,5,76.0,3,228.0,Card,Online,USA,Low,3.9,Mid,1
ORD100002,12-11-2023,ASICS,Model-763,Lifestyle,Men,8,Black,176,15,149.6,4,598.4,Cash,Retail Store,India,Medium,3.0,Mid,1
ORD100003,29-08-2026,Reebok,Model-905,Basketball,Women,7,White,61,15,51.85,2,103.7,Card,Retail Store,India,High,3.4,Low,1
ORD100004,09-11-2019,Nike,Model-413,Training,Men,11,Black,80,0,80.0,4,320.0,Cash,Online,USA,Medium,3.0,Mid,0
ORD100005,27-08-2021,Nike,Model-158,Gym,Unisex,7,Grey,148,0,148.0,3,444.0,Wallet,Retail Store,UK,Low,3.1,Mid,0
ORD100006,21-02-2019,Reebok,Model-786,Gym,Women,11,Black,74,30,51.8,2,103.6,Bank Transfer,Online,UAE,High,3.4,Low,1
ORD100007,17-05-2020,New Balance,Model-604,Lifestyle,Women,8,White,114,15,96.9,4,387.6,Bank Transfer,Online,USA,High,4.7,Mid,1
ORD100008,30-03-2022,New Balance,Model-266,Running,Unisex,7,Grey,194,20,155.2,1,155.2,Bank Transfer,Retail Store,UK,High,4.9,High,1
ORD100009,11-03-2026,Nike,Model-876,Gym,Unisex,7,Black,119,30,83.3,2,166.6,Card,Retail Store,USA,Medium,3.2,Mid,1
ORD100010,06-04-2022,Adidas,Model-554,Running,Men,9,Blue,143,15,121.55,3,364.65,Card,Online,UAE,Medium,4.0,Mid,1
ORD100011,20-05-2020,Nike,Model-661,Gym,Men,9,Blue,94,30,65.8,1,65.8,Bank Transfer,Online,Germany,High,3.6,Low,1
ORD100012,20-09-2025,Puma,Model-871,Lifestyle,Men,11,White,193,30,135.1,2,270.2,Wallet,Retail Store,UAE,Low,3.1,Mid,1
ORD100013,07-12-2023,Adidas,Model-261,Training,Unisex,7,Black,205,5,194.75,4,779.0,Bank Transfer,Retail Store,USA,Medium,4.8,High,1
ORD100014,03-01-2026,Reebok,Model-351,Training,Women,6,White,73,30,51.1,3,153.3,Wallet,Online,USA,Low,4.9,Low,1
ORD100015,06-04-2021,Adidas,Model-316,Running,Unisex,9,Black,141,20,112.8,4,451.2,Cash,Retail Store,UK,Medium,4.2,Mid,1
ORD100016,15-04-2024,Puma,Model-912,Running,Men,6,Grey,100,20,80.0,3,240.0,Cash,Online,India,High,3.0,Mid,1
ORD100017,09-11-2023,Reebok,Model-747,Training,Women,8,White,68,0,68.0,4,272.0,Card,Retail Store,Pakistan,Low,3.4,Low,0
ORD100018,07-02-2022,Adidas,Model-388,Lifestyle,Women,8,Red,195,10,175.5,3,526.5,Card,Retail Store,Germany,High,3.1,High,1
ORD100019,22-05-2023,Adidas,Model-300,Gym,Men,9,Black,100,15,85.0,3,255.0,Wallet,Online,India,Low,3.7,Mid,1
ORD100020,09-02-2020,Nike,Model-904,Lifestyle,Women,8,Grey,107,30,74.9,4,299.6,Wallet,Retail Store,UK,Low,4.2,Low,1
ORD100021,06-08-2020,Reebok,Model-712,Basketball,Unisex,11,Black,94,0,94.0,3,282.0,Bank Transfer,Online,USA,High,4.7,Mid,0
ORD100022,19-07-2026,Adidas,Model-866,Lifestyle,Unisex,11,Red,64,5,60.8,3,182.4,Card,Online,India,Medium,4.0,Low,1
ORD100023,18-06-2024,Nike,Model-991,Training,Men,10,Black,196,5,186.2,2,372.4,Wallet,Online,USA,High,3.4,High,1
ORD100024,21-12-2026,Nike,Model-195,Gym,Women,9,Blue,155,0,155.0,4,620.0,Bank Transfer,Online,Pakistan,Low,4.8,High,0
ORD100025,31-12-2023,Nike,Model-270,Gym,Men,10,Grey,210,20,168.0,3,504.0,Wallet,Online,India,Low,3.5,High,1
ORD100026,16-10-2018,Reebok,Model-185,Gym,Women,9,White,219,10,197.1,3,591.3,Bank Transfer,Retail Store,Germany,Medium,4.9,High,1
ORD100027,06-10-2023,ASICS,Model-745,Gym,Men,9,Red,104,30,72.8,1,72.8,Wallet,Retail Store,UAE,High,4.6,Low,1
ORD100028,29-05-2019,Puma,Model-430,Lifestyle,Unisex,7,Red,103,15,87.55,2,175.1,Wallet,Retail Store,Pakistan,High,3.2,Mid,1
ORD100029,30-11-2021,Puma,Model-732,Running,Women,9,Black,188,0,188.0,3,564.0,Card,Online,USA,High,3.7,High,0
ORD100030,21-03-2023,Nike,Model-510,Training,Women,6,Grey,62,30,43.4,4,173.6,Wallet,Retail Store,USA,High,4.0,Low,1
ORD100031,23-07-2021,New Balance,Model-763,Running,Women,8,Grey,110,5,104.5,4,418.0,Card,Online,UAE,Medium,3.6,Mid,1
